DateTime_utc,Profile_ID,Distance_to_CRNS_m,Profile_Depth_cm,SoilMoisture_g_g,DryBulkDensity_g_cm3,SoilOrganicCarbon_g_g,LatticeWater_g_g
17.11.2014 12:00,35,75,17.5,0.082113667,1.607643179,0.014680421,0.000662691
17.11.2014 12:00,35,75,22.5,0.062901891,1.599901882,0.015231865,0
17.11.2014 12:00,35,75,27.5,0.063374213,1.536545483,0.010661402,0.000664011
17.11.2014 12:00,36,200,2.5,1.987284768,0.384518343,0.059544427,0.003303205
17.11.2014 12:00,36,200,7.5,1.624575163,0.389611301,0.023312616,0.002656085
17.11.2014 12:00,36,200,12.5,1.404884319,0.396232146,0.018083252,0.000672043
17.11.2014 12:00,36,200,17.5,2.890796202,0.27889039,0.014680421,0.000662691
17.11.2014 12:00,36,200,22.5,3.918584071,0.172651282,0.015231865,0
17.11.2014 12:00,36,200,27.5,4.845593108,0.153705478,0.010661402,0.000664011
14.02.2019 12:00,37,7.878724218,2.5,0.275015284,0.999645832,0.059544427,0.003303205
14.02.2019 12:00,37,7.878724218,7.5,0.107270408,1.597151685,0.023312616,0.002656085
14.02.2019 12:00,37,7.878724218,12.5,0.082279251,1.674972086,0.018083252,0.000672043
14.02.2019 12:00,37,7.878724218,17.5,0.070218772,1.732013218,0.014680421,0.000662691
14.02.2019 12:00,37,7.878724218,22.5,0.071630039,1.733439246,0.015231865,0
14.02.2019 12:00,37,7.878724218,27.5,0.067127514,1.7829428,0.010661402,0.000664011
14.02.2019 12:00,37,7.878724218,32.5,0.049098736,1.514442044,0.008640265,0.001334669
14.02.2019 12:00,38,8.848641534,2.5,0.492048644,0.544437229,0.059544427,0.003303205
14.02.2019 12:00,38,8.848641534,7.5,0.161697533,1.226486189,0.023312616,0.002656085
14.02.2019 12:00,38,8.848641534,12.5,0.083362853,1.725290513,0.018083252,0.000672043
14.02.2019 12:00,38,8.848641534,17.5,0.096503151,1.648692422,0.014680421,0.000662691
14.02.2019 12:00,38,8.848641534,22.5,0.096577165,1.684343129,0.015231865,0
